year,carrier,Llegada,Salida,diff
2013,WN,2022-06-02T02:00:00Z,2022-06-02T02:00:00Z,0
2013,B6,2022-06-02T04:59:00Z,2022-06-02T04:00:00Z,59
2013,B6,2022-06-02T04:59:00Z,2022-06-02T04:00:00Z,59
2013,B6,2022-06-02T03:50:00Z,2022-06-02T03:00:00Z,50
2013,B6,2022-06-02T02:54:00Z,2022-06-02T02:00:00Z,54
2013,EV,2022-06-02T02:59:00Z,2022-06-02T02:00:00Z,59
2013,B6,2022-06-02T03:49:00Z,2022-06-02T03:00:00Z,49
2013,B6,2022-06-02T03:50:00Z,2022-06-02T03:00:00Z,50
2013,US,2022-06-01T10:00:00Z,2022-06-01T10:00:00Z,0
2013,UA,2022-06-01T10:25:00Z,2022-06-01T10:00:00Z,25
2013,UA,2022-06-01T10:30:00Z,2022-06-01T10:00:00Z,30
2013,B6,2022-06-01T10:40:00Z,2022-06-01T10:00:00Z,40
2013,AA,2022-06-01T10:40:00Z,2022-06-01T10:00:00Z,40
2013,B6,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,FL,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,AA,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,AA,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,DL,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,DL,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,B6,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,B6,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,MQ,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,EV,2022-06-01T11:01:00Z,2022-06-01T11:00:00Z,1
2013,UA,2022-06-01T11:01:00Z,2022-06-01T11:00:00Z,1
2013,EV,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,US,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,B6,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,US,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,UA,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,AA,2022-06-01T11:10:00Z,2022-06-01T11:00:00Z,10
2013,WN,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,B6,2022-06-01T11:00:00Z,2022-06-01T11:00:00Z,0
2013,MQ,2022-06-01T11:05:00Z,2022-06-01T11:00:00Z,5
2013,EV,2022-06-01T11:07:00Z,2022-06-01T11:00:00Z,7
2013,DL,2022-06-01T11:10:00Z,2022-06-01T11:00:00Z,10
2013,UA,2022-06-01T11:08:00Z,2022-06-01T11:00:00Z,8
2013,AA,2022-06-01T11:10:00Z,2022-06-01T11:00:00Z,10
2013,B6,2022-06-01T11:10:00Z,2022-06-01T11:00:00Z,10
2013,MQ,2022-06-01T11:15:00Z,2022-06-01T11:00:00Z,15
2013,B6,2022-06-01T11:10:00Z,2022-06-01T11:00:00Z,10
2013,WN,2022-06-01T11:10:00Z,2022-06-01T11:00:00Z,10
2013,UA,2022-06-01T11:08:00Z,2022-06-01T11:00:00Z,8
2013,DL,2022-06-01T11:15:00Z,2022-06-01T11:00:00Z,15
2013,9E,2022-06-01T11:15:00Z,2022-06-01T11:00:00Z,15
2013,US,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,B6,2022-06-01T11:25:00Z,2022-06-01T11:00:00Z,25
2013,WN,2022-06-01T11:25:00Z,2022-06-01T11:00:00Z,25
2013,MQ,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,AA,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,B6,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,B6,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,DL,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,EV,2022-06-01T11:33:00Z,2022-06-01T11:00:00Z,33
2013,AA,2022-06-01T11:35:00Z,2022-06-01T11:00:00Z,35
2013,MQ,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,WN,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,B6,2022-06-01T11:31:00Z,2022-06-01T11:00:00Z,31
